+------------+-------------+-----+--------------------+--------------------+----------------+
| Target     |  Non-Target | PCA | minDCF (\pi = 0.1) | minDCF (\pi = 0.5) | Primary Metric |
|   1-Full   |   16-Tied   |  0  |       0.422        |       0.114        |     0.268      |
|   1-Full   |   32-Full   |  0  |       0.425        |       0.117        |     0.271      |
|   1-Full   | 32-Diagonal |  0  |        0.42        |       0.116        |     0.268      |
|   1-Full   |   32-Tied   |  0  |       0.416        |       0.115        |     0.266      |
|   1-Full   |   64-Full   |  0  |       0.436        |       0.119        |     0.277      |
|   1-Full   | 64-Diagonal |  0  |       0.434        |       0.118        |     0.276      |
|   1-Full   |   64-Tied   |  0  |        0.43        |       0.117        |     0.274      |
| 1-Diagonal |    8-Full   |  0  |       0.428        |       0.117        |     0.272      |
| 1-Diagonal |  8-Diagonal |  0  |       0.429        |       0.116        |     0.272      |
| 1-Diagonal |    8-Tied   |  0  |       0.429        |       0.116        |     0.272      |
| 1-Diagonal |   16-Full   |  0  |       0.426        |       0.111        |     0.268      |
| 1-Diagonal | 16-Diagonal |  0  |        0.41        |       0.112        |     0.261      |
| 1-Diagonal |   16-Tied   |  0  |       0.399        |       0.115        |     0.257      |
| 1-Diagonal |   32-Full   |  0  |        0.41        |       0.117        |     0.264      |
| 1-Diagonal | 32-Diagonal |  0  |       0.405        |       0.115        |      0.26      |
| 1-Diagonal |   32-Tied   |  0  |       0.402        |       0.114        |     0.258      |
| 1-Diagonal |   64-Full   |  0  |       0.432        |        0.12        |     0.276      |
| 1-Diagonal | 64-Diagonal |  0  |        0.43        |       0.119        |     0.274      |
| 1-Diagonal |   64-Tied   |  0  |       0.426        |       0.118        |     0.272      |
|   1-Tied   |    8-Full   |  0  |       0.411        |       0.109        |     0.26       |
|   1-Tied   | 8-Diagonal  |  0  |        0.42        |        0.11        |     0.265      |
|   1-Tied   |    8-Tied   |  0  |       0.425        |       0.112        |     0.268      |
|   1-Tied   |   16-Full   |  0  |       0.426        |       0.117        |     0.272      |
|   1-Tied   | 16-Diagonal |  0  |       0.423        |       0.117        |      0.27      |
|   1-Tied   |   16-Tied   |  0  |       0.419        |       0.117        |     0.268      |
|   1-Tied   |   32-Full   |  0  |       0.421        |       0.118        |     0.269      |
|   1-Tied   | 32-Diagonal |  0  |       0.419        |       0.117        |     0.268      |
|   1-Tied   |   32-Tied   |  0  |       0.417        |       0.117        |     0.267      |
|   1-Tied   |   64-Full   |  0  |       0.466        |       0.124        |     0.295      |
|   1-Tied   | 64-Diagonal |  0  |       0.451        |       0.121        |     0.286      |
|   1-Tied   |   64-Tied   |  0  |       0.439        |       0.119        |     0.279      |
|   2-Full   |    8-Full   |  0  |       0.431        |       0.117        |     0.274      |
|   2-Full   |  8-Diagonal |  0  |       0.444        |       0.118        |     0.281      |
|   2-Full   |    8-Tied   |  0  |       0.455        |       0.119        |     0.287      |
|   2-Full   |   16-Full   |  0  |       0.462        |       0.120        |     0.291      |
|   2-Full   | 16-Diagonal |  0  |       0.457        |       0.119        |     0.288      |
|   2-Full   |   16-Tied   |  0  |       0.453        |       0.120        |     0.286      |
|   2-Full   |   32-Full   |  0  |       0.460        |       0.121        |     0.290      |
|   2-Full   | 32-Diagonal |  0  |       0.453        |       0.120        |     0.286      |
|   2-Full   |   32-Tied   |  0  |       0.448        |       0.119        |     0.284      |
|   2-Full   |   64-Full   |  0  |       0.637        |       0.147        |     0.392      |
|   2-Full   | 64-Diagonal |  0  |       0.528        |        0.13        |     0.329      |
|   2-Full   |   64-Tied   |  0  |       0.488        |       0.125        |     0.3065     |
| 2-Diagonal |    8-Full   |  0  |       0.414        |       0.115        |     0.264      |
| 2-Diagonal |  8-Diagonal |  0  |        0.42        |       0.113        |     0.266      |
| 2-Diagonal |    8-Tied   |  0  |       0.425        |       0.115        |      0.27      |
| 2-Diagonal |   16-Full   |  0  |        0.43        |       0.114        |     0.272      |
| 2-Diagonal | 16-Diagonal |  0  |       0.426        |       0.115        |      0.27      |
| 2-Diagonal |   16-Tied   |  0  |       0.424        |       0.115        |      0.27      |
| 2-Diagonal |   32-Full   |  0  |       0.431        |       0.117        |     0.274      |
| 2-Diagonal | 32-Diagonal |  0  |       0.425        |       0.117        |     0.271      |
| 2-Diagonal |   32-Tied   |  0  |        0.42        |       0.116        |     0.268      |
| 2-Diagonal |   64-Full   |  0  |       0.631        |       0.156        |     0.3935     |
| 2-Diagonal | 64-Diagonal |  0  |        0.51        |       0.135        |     0.3225     |
| 2-Diagonal |   64-Tied   |  0  |        0.47        |       0.126        |     0.298      |
|   2-Tied   |    8-Full   |  0  |       0.405        |       0.112        |     0.258      |
|   2-Tied   |  8-Diagonal |  0  |       0.449        |       0.116        |     0.283      |
|   2-Tied   |    8-Tied   |  0  |       0.447        |       0.117        |     0.282      |
|   2-Tied   |   16-Full   |  0  |       0.442        |       0.117        |      0.28      |
|   2-Tied   | 16-Diagonal |  0  |       0.449        |       0.117        |     0.283      |
|   2-Tied   |   16-Tied   |  0  |       0.443        |       0.117        |      0.28      |
|   2-Tied   |   32-Full   |  0  |       0.437        |       0.118        |     0.277      |
|   2-Tied   | 32-Diagonal |  0  |       0.433        |       0.117        |     0.275      |
|   2-Tied   |   32-Tied   |  0  |       0.429        |       0.116        |     0.272      |
|   2-Tied   |   64-Full   |  0  |       0.446        |        0.12        |     0.283      |
|   2-Tied   | 64-Diagonal |  0  |       0.441        |       0.119        |      0.28      |
|   2-Tied   |   64-Tied   |  0  |       0.371        |       0.105        |     0.238      |
+------------+-------------+-----+--------------------+--------------------+----------------+
